c1,c2,c3,c4,e,p,s,t
14,37,41,0,8,72.99,25,1539948864463
14,37,41,0,12,73,25,1539951314446
0,0,0,0,4,73,1500,1539953522469
14,41,0,0,12,73,100,1539953584540
14,37,41,0,11,73,25,1539953634051
37,0,0,0,4,73,13,1539953947436
37,0,0,0,11,72.94,5,1539953952321
37,0,0,0,4,73,1,1539954116925
37,0,0,0,4,73,2,1539954127050
0,0,0,0,11,72.89,100,1539954163312
37,0,0,0,4,73,15,1539954240216
14,41,0,0,11,73,975,1539954468730
37,0,0,0,11,73.1,4,1539955216990
37,0,0,0,8,73.02,1,1539955222086
14,41,0,0,11,74,500,1539955718263
14,41,0,0,11,74,500,1539955740084
37,0,0,0,12,73.99,25,1539955755081
14,37,41,0,12,74.5,5,1539955757818
14,37,41,0,11,74.1,50,1539955764278
0,0,0,0,12,74.36,100,1539955800049
51,0,0,0,0,74.5,,1539955800064
0,0,0,0,12,74.49,100,1539955800064
37,0,0,0,12,74.5,95,1539955800064
0,0,0,0,11,74.5,200,1539955800064
25,16,0,0,11,74.5,200,1539955800064
37,0,0,0,12,74.5,46,1539955800064
37,0,0,0,11,74.5,41,1539955800064
14,37,41,0,12,74.5,54,1539955800138
14,41,0,0,11,74.5,187,1539955800139
51,0,0,0,0,74.19,,1539955805706
0,0,0,0,12,74.19,100,1539955805706
25,16,0,0,12,74.19,100,1539955805706
51,0,0,0,0,74.15,,1539955810009
0,0,0,0,11,74.15,100,1539955810009
37,0,0,0,12,74.17,27,1539955811303
37,0,0,0,19,74.35,29,1539955856659
37,0,0,0,19,74.48,29,1539955859397
37,0,0,0,19,74.5,29,1539955862178
51,0,0,0,0,73.6,,1539955865760
51,0,0,0,0,73.68,,1539955865760
0,0,0,0,11,73.68,100,1539955865760
0,0,0,0,11,73.6,100,1539955865760
0,0,0,0,12,74.08,100,1539955965003
0,0,0,0,12,74.19,100,1539955965003
0,0,0,0,12,74.2,100,1539955965003
0,0,0,0,19,74.08,100,1539955965003
37,0,0,0,12,74.21,17,1539955965003
37,0,0,0,12,74.46,17,1539956011371
0,0,0,0,12,74.25,100,1539956011371
25,0,0,0,10,73.91,17286,1539956193140
37,0,0,0,10,73.5,59,1539956193142
14,37,41,0,10,73.51,91,1539956193142
14,37,41,0,10,73.51,9,1539956193142
14,37,41,0,10,73.5,7,1539956193142
14,37,41,0,10,73.5,9,1539956193142
37,0,0,0,11,74,2,1539956193145
37,0,0,0,10,74,11,1539956193145
0,0,0,0,10,74,289,1539956193145
0,0,0,0,10,74.22,100,1539956193145
37,0,0,0,12,74,17,1539956193145
14,41,0,0,12,74,100,1539956193145
37,0,0,0,10,74.3,6,1539956193147
37,0,0,0,10,74.3,94,1539956193147
37,0,0,0,10,74.37,13,1539956193149
14,37,41,0,10,73.52,2,1539956193184
14,37,41,0,10,73.52,9,1539956193239
37,0,0,0,4,73.2,1,1539956193475
0,0,0,0,12,73.83,100,1539956193490
0,0,0,0,12,73.8,100,1539956193490
37,0,0,0,4,73.2,1,1539956193597
37,0,0,0,4,74.27,1,1539956193882
0,0,0,0,12,73.79,100,1539956194062
14,37,41,0,8,73.5,10,1539956198153
14,37,41,0,8,73.5,2,1539956198153
14,41,0,0,11,74.27,100,1539956199360
14,41,0,0,19,73.885,100,1539956199360
14,41,0,0,12,73.885,200,1539956199361
14,41,0,0,12,73.885,100,1539956199361
14,41,0,0,2,74.27,100,1539956199361
0,0,0,0,12,73.885,100,1539956199361
0,0,0,0,12,73.885,100,1539956199361
0,0,0,0,15,73.885,100,1539956199361
0,0,0,0,4,73.885,100,1539956199361
0,0,0,0,4,73.825,100,1539956200575
37,0,0,0,4,74.15,20,1539956202915
0,0,0,0,12,73.82,100,1539956204367
51,0,0,0,0,73.56,,1539956209323
0,0,0,0,2,73.56,100,1539956209323
0,0,0,0,18,73.58,100,1539956209323
0,0,0,0,18,73.56,100,1539956209323
14,37,41,0,12,73.5,95,1539956209353
0,0,0,0,4,73.82,100,1539956209711
37,0,0,0,10,73.52,89,1539956215194
37,0,0,0,12,73.51,11,1539956215195
37,0,0,0,12,73.52,94,1539956221501
14,41,0,0,10,74.07,100,1539956221502
14,41,0,0,10,74.08,100,1539956221502
14,37,41,0,12,73.51,6,1539956221502
0,0,0,0,4,73.825,100,1539956221504
0,0,0,0,4,74.14,300,1539956221512
0,0,0,0,4,73.825,200,1539956221619
51,0,0,0,0,73.51,,1539956223252
0,0,0,0,4,73.51,100,1539956223252
0,0,0,0,12,73.51,100,1539956225582
0,0,0,0,10,73.53,100,1539956225621
14,37,41,0,10,73.5,75,1539956225806
14,41,0,0,8,73.71,100,1539956225806
14,41,0,0,12,73.51,100,1539956225806
14,41,0,0,12,73.51,100,1539956225806
0,0,0,0,12,73.51,100,1539956225806
51,0,0,0,0,73.5,,1539956225807
51,0,0,0,0,73.46,,1539956225807
14,37,41,0,12,73.5,5,1539956225807
0,0,0,0,12,73.5,100,1539956225807
0,0,0,0,12,73.46,100,1539956225807
14,41,0,0,12,73.46,100,1539956225807
14,41,0,0,12,73.46,100,1539956225808
51,0,0,0,0,73.36,,1539956225809
14,37,41,0,10,73.51,14,1539956225809
0,0,0,0,11,73.36,100,1539956225809
14,41,0,0,11,73.36,350,1539956225809
14,37,41,0,10,73.4,25,1539956225809
0,0,0,0,12,73.36,400,1539956225809
14,37,41,0,11,73.27,72,1539956225809
37,0,0,0,12,73.36,50,1539956225809
14,37,41,0,11,73.27,62,1539956225809
14,37,41,0,11,73.27,62,1539956225809
51,0,0,0,0,73.27,,1539956225810
51,0,0,0,0,73.2,,1539956225810
14,41,0,0,10,73.27,100,1539956225810
14,41,0,0,10,73.2,100,1539956225810
51,0,0,0,0,73.14,,1539956225811
14,41,0,0,10,73.14,100,1539956225811
51,0,0,0,0,73.12,,1539956225813
51,0,0,0,0,73.01,,1539956225813
14,41,0,0,10,73.12,100,1539956225813
14,41,0,0,12,73.01,100,1539956225813
0,0,0,0,11,73.06,100,1539956225813
37,0,0,0,11,73,25,1539956225813
51,0,0,0,0,72.93,,1539956225814
14,37,41,0,12,72.85,59,1539956225814
14,37,41,0,18,72.85,3,1539956225814
14,37,41,0,12,72.85,41,1539956225814
14,37,41,0,18,72.85,56,1539956225814
14,37,41,0,17,72.85,59,1539956225814
0,0,0,0,12,72.93,100,1539956225814
14,37,41,0,17,72.85,41,1539956225814
14,37,41,0,8,72.85,59,1539956225814
51,0,0,0,0,72.85,,1539956225815
14,41,0,0,12,72.99,203,1539956225815
0,0,0,0,11,72.85,100,1539956225815
14,41,0,0,12,73,197,1539956225815
14,41,0,0,17,72.97,100,1539956225815
14,37,41,0,12,72.85,41,1539956225815
14,37,41,0,12,72.85,59,1539956225815
14,41,0,0,12,72.98,115,1539956225815
14,41,0,0,17,72.96,100,1539956225815
14,41,0,0,12,73,126,1539956225815
14,37,41,0,12,73,62,1539956225815
0,0,0,0,4,72.85,225,1539956225815
14,37,41,0,17,72.97,38,1539956225815
0,0,0,0,12,72.96,100,1539956225815
14,37,41,0,19,72.97,83,1539956225816
14,37,41,0,17,72.87,11,1539956225816
14,37,41,0,17,72.82,52,1539956225816
14,37,41,0,12,72.87,23,1539956225816
14,37,41,0,17,72.82,19,1539956225816
37,0,0,0,12,72.96,11,1539956225816
14,37,41,0,17,72.82,18,1539956225816
14,37,41,0,12,72.87,59,1539956225816
37,0,0,0,17,72.97,62,1539956225816
37,0,0,0,12,72.96,23,1539956225816
0,0,0,0,15,72.945,100,1539956225818
37,0,0,0,12,72.9,83,1539956225822
37,0,0,0,12,72.96,6,1539956225823
37,0,0,0,4,72.91,6,1539956225824
0,0,0,0,4,72.8901,711,1539956225831
37,0,0,0,12,72.96,6,1539956225834
37,0,0,0,4,72.92,6,1539956225835
14,41,0,0,12,73,100,1539956225838
37,0,0,0,12,73,15,1539956225838
37,0,0,0,18,72.94,6,1539956225838
37,0,0,0,12,73,6,1539956225839
37,0,0,0,12,73,6,1539956225842
37,0,0,0,4,72.97,6,1539956225843
37,0,0,0,12,72.94,41,1539956225845
0,0,0,0,12,72.86,100,1539956225846
37,0,0,0,17,72.82,11,1539956225846
51,0,0,0,0,72.82,,1539956225847
14,41,0,0,10,72.82,100,1539956225847
37,0,0,0,12,72.86,11,1539956225847
37,0,0,0,12,72.82,89,1539956225847
37,0,0,0,12,72.82,11,1539956225847
51,0,0,0,0,72.77,,1539956225849
0,0,0,0,4,72.94,100,1539956225849
14,41,0,0,10,72.77,100,1539956225849
0,0,0,0,12,72.77,100,1539956225849
14,41,0,0,17,72.77,100,1539956225849
51,0,0,0,0,72.419,,1539956225853
0,0,0,0,4,72.419,719,1539956225853
0,0,0,0,12,72.94,100,1539956225856
37,0,0,0,4,72.5,1,1539956225857
37,0,0,0,10,72.64,1,1539956225864
0,0,0,0,4,72.58,100,1539956225955
14,41,0,0,17,73.06,100,1539956226021
0,0,0,0,4,72.8541,100,1539956226025
14,41,0,0,12,72.59,100,1539956226783
0,0,0,0,4,72.59,100,1539956226784
0,0,0,0,4,72.555,100,1539956226892
0,0,0,0,4,72.5,100,1539956226896
0,0,0,0,4,72.5,100,1539956227034
10,2,41,0,4,73.642,100,1539956230100
0,0,0,0,15,72.84,100,1539956231598
0,0,0,0,4,72.84,100,1539956232597
0,0,0,0,4,73.09,100,1539956232599
14,41,0,0,12,72.845,100,1539956234193
0,0,0,0,15,73.03,100,1539956234193
0,0,0,0,4,72.85,100,1539956237162
0,0,0,0,4,72.85,100,1539956237167
0,0,0,0,4,72.85,100,1539956237168
0,0,0,0,4,72.85,100,1539956237572
0,0,0,0,4,72.85,100,1539956238227
0,0,0,0,4,72.85,100,1539956238237
0,0,0,0,12,72.77,100,1539956247604
0,0,0,0,12,72.705,100,1539956247604
0,0,0,0,15,72.705,200,1539956247604
0,0,0,0,4,72.705,100,1539956247606
0,0,0,0,4,72.705,100,1539956247607
0,0,0,0,4,72.705,100,1539956247607
0,0,0,0,4,72.705,100,1539956247607
0,0,0,0,4,72.705,100,1539956247608
0,0,0,0,12,72.705,100,1539956247611
0,0,0,0,4,72.59,100,1539956247715
0,0,0,0,4,72.59,100,1539956247727
0,0,0,0,4,72.705,100,1539956247761
0,0,0,0,4,72.705,100,1539956247767
0,0,0,0,4,72.705,100,1539956247781
0,0,0,0,12,72.705,100,1539956247915
0,0,0,0,4,72.705,100,1539956248237
0,0,0,0,12,72.65,100,1539956248972
0,0,0,0,12,72.65,100,1539956249024
0,0,0,0,4,72.59,100,1539956249093
0,0,0,0,18,72.59,100,1539956249143
37,0,0,0,10,72.56,26,1539956249144
0,0,0,0,11,72.54,100,1539956249145
0,0,0,0,10,72.53,100,1539956249146
0,0,0,0,10,72.53,100,1539956249146
0,0,0,0,4,72.59,100,1539956249157
0,0,0,0,4,72.59,100,1539956249204
14,37,41,0,12,72.5,4,1539956249205
0,0,0,0,4,72.5,100,1539956249315
0,0,0,0,4,72.5,100,1539956250423
0,0,0,0,4,72.51,100,1539956251115
0,0,0,0,4,72.51,100,1539956251127
0,0,0,0,4,72.51,100,1539956251134
0,0,0,0,4,72.51,100,1539956251148
0,0,0,0,4,72.55,100,1539956251628
0,0,0,0,18,72.51,100,1539956251941
0,0,0,0,4,72.51,100,1539956252066
14,41,0,0,17,72.51,100,1539956252444
0,0,0,0,4,72.51,100,1539956252453
0,0,0,0,4,72.51,100,1539956252454
37,0,0,0,4,72.5801,25,1539956252532
0,0,0,0,4,72.58,100,1539956253177
0,0,0,0,4,72.51,100,1539956253177
14,41,0,0,10,72.63,100,1539956253178
14,37,41,0,10,72.65,99,1539956253178
14,37,41,0,12,72.68,1,1539956253179
0,0,0,0,7,72.5,100,1539956254378
37,0,0,0,4,72.5802,40,1539956254970
0,0,0,0,4,72.5,100,1539956258611
0,0,0,0,4,72.5,100,1539956258724
0,0,0,0,4,72.51,100,1539956265398
0,0,0,0,4,72.6493,100,1539956265877
0,0,0,0,4,72.635,100,1539956265988
0,0,0,0,4,72.51,100,1539956266490
0,0,0,0,4,72.525,100,1539956266706
37,0,0,0,4,72.5,4,1539956275799
37,0,0,0,4,72.5975,4,1539956275799
0,0,0,0,4,72.6133,1996,1539956275803
14,41,0,0,12,72.63,100,1539956276053
14,41,0,0,10,72.69,100,1539956276053
14,41,0,0,7,72.5,100,1539956276054
14,41,0,0,12,72.51,100,1539956276055
0,0,0,0,15,72.63,100,1539956276055
0,0,0,0,15,72.63,200,1539956276055
0,0,0,0,4,72.5,100,1539956276167
0,0,0,0,4,72.6496,1500,1539956276604
0,0,0,0,19,72.58,100,1539956276689
14,41,0,0,19,72.51,100,1539956279328
0,0,0,0,4,72.51,100,1539956279357
0,0,0,0,11,72.51,200,1539956281490
37,0,0,0,4,72.5101,1,1539956290649
14,41,0,0,12,72.51,100,1539956295283
14,37,41,0,12,72.51,15,1539956295283
14,41,0,0,17,72.51,100,1539956295283
14,37,41,0,12,72.48,15,1539956295283
51,0,0,0,0,72.41,,1539956295285
0,0,0,0,19,72.41,100,1539956295285
14,41,0,0,12,72.5,100,1539956295285
0,0,0,0,4,72.51,100,1539956295395
0,0,0,0,4,72.41,200,1539956296547
0,0,0,0,4,72.42,200,1539956296548
14,41,0,0,10,72.55,100,1539956297304
0,0,0,0,7,72.5,100,1539956297307
0,0,0,0,4,72.4584,110,1539956297315
0,0,0,0,4,72.42,100,1539956297471
14,41,0,0,10,72.55,100,1539956297987
0,0,0,0,4,72.42,400,1539956298445
0,0,0,0,4,72.42,100,1539956298553
0,0,0,0,4,72.44,100,1539956299143
0,0,0,0,4,72.42,100,1539956299146
0,0,0,0,4,72.63,100,1539956300351
14,41,0,0,12,72.525,100,1539956301015
0,0,0,0,15,72.525,100,1539956303103
0,0,0,0,4,72.525,100,1539956303324
14,41,0,0,12,72.44,100,1539956303348
0,0,0,0,12,72.5,100,1539956303349
37,0,0,0,19,72.51,10,1539956303349
37,0,0,0,12,72.5,11,1539956303349
37,0,0,0,12,72.51,89,1539956303349
37,0,0,0,12,72.51,11,1539956303349
0,0,0,0,12,72.51,100,1539956303349
0,0,0,0,12,72.51,100,1539956303349
14,37,41,0,12,72.51,10,1539956303349
14,41,0,0,10,72.44,100,1539956303352
37,0,0,0,10,72.41,27,1539956303354
14,37,41,0,10,72.51,2,1539956303354
37,0,0,0,10,72.41,59,1539956303354
37,0,0,0,10,72.41,67,1539956303354
14,37,41,0,10,72.41,47,1539956303354
14,37,41,0,12,72.51,98,1539956303354
14,37,41,0,12,72.51,2,1539956303355
0,0,0,0,4,72.54,100,1539956303360
51,0,0,0,0,72.4,,1539956303471
0,0,0,0,11,72.4,100,1539956303471
0,0,0,0,11,72.4,100,1539956303471
14,41,0,0,10,72.4,100,1539956303471
14,41,0,0,19,72.4,100,1539956303471
14,41,0,0,18,72.4,100,1539956303471
14,41,0,0,12,72.4,100,1539956303471
14,41,0,0,12,72.4,100,1539956303471
0,0,0,0,4,72.415,100,1539956303499
0,0,0,0,4,72.46,100,1539956304244
14,41,0,0,12,72.51,100,1539956304247
14,41,0,0,12,72.52,100,1539956304247
14,41,0,0,12,72.54,100,1539956304254
0,0,0,0,4,72.46,100,1539956304268
51,0,0,0,0,72.37,,1539956304423
51,0,0,0,0,72.3,,1539956304423
0,0,0,0,4,72.37,100,1539956304423
0,0,0,0,4,72.3,100,1539956304423
0,0,0,0,4,72.63,100,1539956304975
0,0,0,0,4,72.4252,200,1539956309218
0,0,0,0,4,72.4647,100,1539956313868
14,41,0,0,10,72.5,100,1539956314546
0,0,0,0,4,72.4,100,1539956325504
0,0,0,0,4,72.44,100,1539956326708
14,37,41,0,10,72.61,99,1539956326711
14,37,41,0,10,72.62,1,1539956326711
14,41,0,0,11,72.59,100,1539956326711
14,41,0,0,11,72.59,100,1539956326711
37,0,0,0,10,72.62,99,1539956326711
14,41,0,0,19,72.5,100,1539956326711
14,41,0,0,18,72.62,200,1539956326711
14,41,0,0,7,72.62,100,1539956326711
14,41,0,0,19,72.5,100,1539956326711
14,41,0,0,7,72.62,100,1539956326711
14,41,0,0,12,72.62,200,1539956326711
0,0,0,0,7,72.52,100,1539956326712
0,0,0,0,10,72.505,182,1539956326712
0,0,0,0,8,72.53,100,1539956326712
0,0,0,0,2,72.54,100,1539956326712
14,37,41,0,10,72.63,33,1539956326713
0,0,0,0,11,72.63,100,1539956326713
14,37,41,0,12,72.63,67,1539956326713
37,0,0,0,12,72.63,33,1539956326713
0,0,0,0,7,72.63,100,1539956326713
0,0,0,0,12,72.63,100,1539956326713
0,0,0,0,12,72.63,100,1539956326713
0,0,0,0,12,72.62,100,1539956326714
14,41,0,0,12,72.63,100,1539956326714
14,41,0,0,12,72.63,100,1539956326716
14,37,41,0,12,72.56,40,1539956326716
0,0,0,0,4,72.63,100,1539956326717
14,41,0,0,12,72.56,100,1539956326720
0,0,0,0,15,72.555,100,1539956326822
0,0,0,0,15,72.555,100,1539956326826
0,0,0,0,15,72.62,100,1539956327062
0,0,0,0,15,72.67,100,1539956327331
37,0,0,0,4,72.44,50,1539956327558
0,0,0,0,11,72.67,100,1539956328525
14,37,41,0,11,72.67,40,1539956328525
14,37,41,0,11,72.67,60,1539956328525
0,0,0,0,19,72.56,100,1539956328525
14,37,41,0,12,72.63,40,1539956328526
0,0,0,0,12,72.67,100,1539956328526
14,37,41,0,12,72.67,88,1539956328526
14,37,41,0,12,72.67,12,1539956328526
0,0,0,0,19,72.58,100,1539956328526
14,37,41,0,10,72.67,38,1539956328526
0,0,0,0,10,72.67,200,1539956328526
14,37,41,0,10,72.67,5,1539956328526
14,37,41,0,10,72.67,67,1539956328526
14,37,41,0,10,72.67,50,1539956328526
14,37,41,0,11,72.67,35,1539956328526
14,37,41,0,10,72.67,40,1539956328526
0,0,0,0,10,72.67,100,1539956328526
0,0,0,0,19,72.63,100,1539956328526
0,0,0,0,12,72.67,200,1539956328526
0,0,0,0,10,72.67,162,1539956328526
37,0,0,0,10,72.67,38,1539956328527
0,0,0,0,10,72.67,100,1539956328527
14,37,41,0,11,72.67,65,1539956328528
0,0,0,0,15,72.72,100,1539956328948
14,41,0,0,12,72.71,100,1539956328952
14,41,0,0,12,72.72,100,1539956328952
0,0,0,0,19,72.625,100,1539956328952
14,41,0,0,12,72.72,100,1539956328952
20,41,0,0,4,72.72,100,1539956328981
0,0,0,0,11,72.78,100,1539956328981
37,0,0,0,4,72.81,50,1539956328999
0,0,0,0,4,72.81,100,1539956329028
14,37,41,0,12,72.8,50,1539956329053
37,0,0,0,10,72.72,10,1539956329054
14,37,41,0,12,72.8,50,1539956329054
37,0,0,0,10,72.72,90,1539956329054
14,41,0,0,12,72.81,100,1539956329054
0,0,0,0,19,72.725,100,1539956329054
14,37,41,0,12,72.81,12,1539956329054
0,0,0,0,12,72.82,100,1539956329054
37,0,0,0,12,72.82,12,1539956329054
14,37,41,0,12,72.82,10,1539956329056
14,41,0,0,12,72.91,100,1539956329070
14,37,41,0,10,72.92,28,1539956329071
37,0,0,0,10,72.92,72,1539956329071
0,0,0,0,4,72.805,100,1539956329103
0,0,0,0,4,72.74,100,1539956329114
0,0,0,0,4,73.09,100,1539956330121
0,0,0,0,4,73.085,100,1539956331628
14,41,0,0,10,73.14,100,1539956341957
37,0,0,0,4,73.18,12,1539956341976
0,0,0,0,4,73.06,200,1539956343294
37,0,0,0,4,73,50,1539956345487
0,0,0,0,4,73.19,100,1539956346233
0,0,0,0,4,73.075,100,1539956346237
0,0,0,0,4,73.19,100,1539956346238
0,0,0,0,4,73.075,100,1539956346381
0,0,0,0,15,73.075,100,1539956347003
14,37,41,0,11,73.19,88,1539956348686
14,37,41,0,10,73.17,40,1539956348686
0,0,0,0,4,73.08,100,1539956348696
0,0,0,0,4,73.19,100,1539956349384
0,0,0,0,4,73.19,100,1539956349386
0,0,0,0,4,73.105,100,1539956349414
0,0,0,0,4,73.105,100,1539956349415
14,37,41,0,12,73.21,60,1539956349737
14,37,41,0,12,73.22,40,1539956349737
0,0,0,0,4,73.105,100,1539956349821
37,0,0,0,4,72.9767,2,1539956349842
0,0,0,0,4,73.24,200,1539956350073
0,0,0,0,4,73.24,100,1539956350245
14,37,41,0,12,73.22,60,1539956350247
14,37,41,0,12,73.24,40,1539956350247
0,0,0,0,19,73.105,100,1539956350247
0,0,0,0,19,73.13,100,1539956350247
0,0,0,0,4,73.105,200,1539956350247
0,0,0,0,4,73.105,100,1539956350248
0,0,0,0,19,73.16,100,1539956350249
0,0,0,0,4,73.1725,100,1539956350250
0,0,0,0,4,73.1725,200,1539956350357
0,0,0,0,4,73.1863,100,1539956350760
0,0,0,0,4,73.1863,100,1539956350805
0,0,0,0,4,73.115,100,1539956350821
0,0,0,0,4,73.115,100,1539956350863
0,0,0,0,4,73.115,100,1539956350967
0,0,0,0,4,73.115,100,1539956351069
14,37,41,0,7,73.19,50,1539956351709
0,0,0,0,4,73.1888,100,1539956352163
0,0,0,0,4,73.165,100,1539956352272
14,37,41,0,11,73.19,98,1539956352330
14,37,41,0,12,73.27,50,1539956352330
0,0,0,0,4,73.165,100,1539956352331
0,0,0,0,4,73.155,400,1539956352976
14,41,0,0,17,73.05,100,1539956360302
14,41,0,0,10,73.27,100,1539956368540
14,37,41,0,12,73.25,50,1539956368541
14,41,0,0,12,73.27,100,1539956368541
14,37,41,0,12,73.27,50,1539956368541
0,0,0,0,1,73.19,100,1539956368541
0,0,0,0,4,73.165,100,1539956368543
0,0,0,0,4,73.15,100,1539956368543
0,0,0,0,4,73.15,100,1539956368544
0,0,0,0,4,73.15,100,1539956368549
14,41,0,0,10,73.23,100,1539956369215
0,0,0,0,19,73.155,200,1539956369410
14,37,41,0,12,73.24,50,1539956380083
0,0,0,0,12,73.17,100,1539956380708
37,0,0,0,19,73.11,10,1539956380712
0,0,0,0,12,73.13,100,1539956380712
37,0,0,0,8,73.13,10,1539956380712
37,0,0,0,18,73.11,10,1539956380712
37,0,0,0,12,73.17,1,1539956380712
37,0,0,0,7,73.12,10,1539956380712
0,0,0,0,4,73.16,383,1539956381118
37,0,0,0,19,73.06,94,1539956381776
37,0,0,0,15,73.23,50,1539956381814
0,0,0,0,4,73.25,100,1539956382720
0,0,0,0,4,73.155,200,1539956383491
14,41,0,0,11,73.05,100,1539956384083
14,41,0,0,12,73.06,100,1539956384084
14,41,0,0,10,73.04,100,1539956384084
14,41,0,0,12,73.01,100,1539956384084
14,37,41,0,10,72.78,50,1539956388016
14,41,0,0,10,72.95,100,1539956388018
14,41,0,0,10,72.97,100,1539956388018
0,0,0,0,8,72.84,100,1539956391271
37,0,0,0,8,72.83,37,1539956394005
0,0,0,0,10,72.85,100,1539956394005
14,41,0,0,10,72.81,100,1539956394005
14,37,41,0,8,72.83,63,1539956394005
0,0,0,0,19,72.84,100,1539956394005
0,0,0,0,12,72.83,100,1539956394005
0,0,0,0,18,72.84,100,1539956394005
14,37,41,0,8,72.83,37,1539956394005
37,0,0,0,12,72.83,13,1539956394005
0,0,0,0,12,72.83,100,1539956394006
14,41,0,0,2,72.83,100,1539956394006
14,41,0,0,12,72.82,100,1539956394006
14,41,0,0,10,72.81,100,1539956394006
0,0,0,0,4,72.84,100,1539956394007
0,0,0,0,4,72.83,100,1539956394007
0,0,0,0,19,72.54,100,1539956394130
0,0,0,0,19,72.57,100,1539956394130
37,0,0,0,4,72.6,17,1539956395003
14,41,0,0,10,72.56,100,1539956396075
0,0,0,0,12,72.64,200,1539956396879
37,0,0,0,4,72.63,1,1539956396880
0,0,0,0,4,72.855,100,1539956399937
37,0,0,0,4,73.005,38,1539956399939
0,0,0,0,4,72.985,100,1539956399975
0,0,0,0,4,72.985,100,1539956399995
0,0,0,0,4,72.96,100,1539956399999
0,0,0,0,4,72.68,200,1539956400019
37,0,0,0,4,72.71,1,1539956400318
14,41,0,0,10,72.73,100,1539956400624
37,0,0,0,4,72.7095,28,1539956402979
0,0,0,0,12,72.675,200,1539956404114
0,0,0,0,4,72.705,200,1539956407090
14,41,0,0,10,72.705,100,1539956410704
14,37,41,0,10,72.81,90,1539956410706
14,41,0,0,10,72.87,100,1539956410706
14,37,41,0,10,72.92,10,1539956410706
0,0,0,0,4,72.67,100,1539956412455
0,0,0,0,1,72.665,100,1539956412973
0,0,0,0,19,72.665,100,1539956413284
0,0,0,0,19,72.665,200,1539956413293
0,0,0,0,15,72.715,200,1539956416488
0,0,0,0,4,72.725,100,1539956416500
14,41,0,0,10,72.9,100,1539956416849
0,0,0,0,4,72.725,100,1539956416850
14,41,0,0,10,72.66,100,1539956418864
0,0,0,0,10,72.66,100,1539956418865
0,0,0,0,4,72.6,100,1539956418865
0,0,0,0,4,72.565,100,1539956418974
0,0,0,0,4,72.6926,2000,1539956420088
14,41,0,0,10,72.88,100,1539956420361
0,0,0,0,4,72.715,100,1539956420362
0,0,0,0,4,72.71,100,1539956420366
10,2,41,0,4,72.7309,100,1539956420759
0,0,0,0,4,72.71,700,1539956421555
0,0,0,0,4,72.71,300,1539956421597
37,0,0,0,15,72.57,50,1539956421630
14,37,41,0,12,72.84,50,1539956421975
14,37,41,0,12,72.87,50,1539956421975
0,0,0,0,15,72.71,100,1539956421978
0,0,0,0,4,72.7005,100,1539956421981
0,0,0,0,10,72.64,100,1539956422879
0,0,0,0,10,72.64,100,1539956422880
0,0,0,0,4,72.54,100,1539956422989
0,0,0,0,4,72.7,300,1539956426315
0,0,0,0,4,72.7,500,1539956426567
0,0,0,0,4,72.695,600,1539956431290
14,41,0,0,12,72.68,100,1539956433707
0,0,0,0,15,72.695,400,1539956436608
0,0,0,0,15,72.695,400,1539956437118
14,41,0,0,12,72.85,100,1539956437370
14,41,0,0,12,72.86,100,1539956437370
0,0,0,0,4,72.695,100,1539956437371
0,0,0,0,12,72.67,100,1539956437372
0,0,0,0,10,72.665,100,1539956439863
0,0,0,0,15,72.665,500,1539956441158
37,0,0,0,15,72.56,50,1539956443165
14,41,0,0,19,72.56,100,1539956443760
0,0,0,0,19,72.53,100,1539956443760
14,41,0,0,11,72.5,100,1539956443760
14,41,0,0,11,72.5,100,1539956443760
14,41,0,0,11,72.5,100,1539956443760
0,0,0,0,8,72.56,100,1539956443761
51,0,0,0,0,72.27,,1539956443772
51,0,0,0,0,72.25,,1539956443772
37,0,0,0,10,72.3,45,1539956443772
14,41,0,0,12,72.3,100,1539956443772
14,41,0,0,12,72.27,100,1539956443772
14,41,0,0,8,72.25,100,1539956443772
0,0,0,0,10,72.25,100,1539956443772
0,0,0,0,10,72.25,100,1539956443773
14,37,41,0,12,72.12,82,1539956443774
51,0,0,0,0,72.04,,1539956443775
0,0,0,0,19,72.04,100,1539956443775
14,37,41,0,11,72.14,68,1539956443775
14,37,41,0,12,72.21,50,1539956446747
51,0,0,0,0,72,,1539956446753
14,41,0,0,12,72,100,1539956446753
14,41,0,0,11,72,100,1539956446753
0,0,0,0,11,72,100,1539956446753
37,0,0,0,10,72,53,1539956446754
51,0,0,0,0,71.87,,1539956446755
14,37,41,0,10,71.97,15,1539956446755
14,41,0,0,11,71.87,100,1539956446755
14,41,0,0,11,71.98,200,1539956446755
51,0,0,0,0,71.79,,1539956446760
0,0,0,0,11,71.79,300,1539956446760
37,0,0,0,11,71.79,40,1539956446760
0,0,0,0,4,71.795,100,1539956446797
14,41,0,0,11,71.98,100,1539956446843
14,41,0,0,12,71.93,100,1539956446844
0,0,0,0,4,71.79,100,1539956446902
0,0,0,0,12,72.01,100,1539956447966
14,37,41,0,12,72.01,87,1539956447966
0,0,0,0,4,72.25,100,1539956448397
0,0,0,0,4,72.24,100,1539956448399
0,0,0,0,4,72.24,100,1539956448404
0,0,0,0,15,72.07,200,1539956449170
14,41,0,0,11,72.14,100,1539956451222
14,41,0,0,11,72.18,100,1539956451222
14,41,0,0,11,72.2,100,1539956451222
14,41,0,0,11,72.21,100,1539956451222
